Date,Open,High,Low,Close,Adj Close,Volume
26/03/2016,0.00819,0.008197,0.008053,0.008066,0.008066,309664
27/03/2016,0.008062,0.008081,0.008005,0.008029,0.008029,418222
28/03/2016,0.008025,0.008032,0.007467,0.007564,0.007564,2114600
29/03/2016,0.007573,0.007605,0.007397,0.007566,0.007566,1116900
30/03/2016,0.007568,0.007595,0.007327,0.007332,0.007332,1210630
31/03/2016,0.007332,0.007392,0.007274,0.007391,0.007391,1036210
01/04/2016,0.007391,0.00748,0.007391,0.007418,0.007418,827273
02/04/2016,0.007418,0.007505,0.00741,0.007501,0.007501,390399
03/04/2016,0.007504,0.007533,0.007492,0.007503,0.007503,250112
04/04/2016,0.007502,0.007515,0.007483,0.007491,0.007491,300359
05/04/2016,0.007488,0.007516,0.007451,0.007474,0.007474,464037
06/04/2016,0.007467,0.007468,0.007296,0.007296,0.007296,796790
07/04/2016,0.007308,0.007309,0.006875,0.006875,0.006875,1450030
08/04/2016,0.006875,0.006875,0.006657,0.006671,0.006671,859428
09/04/2016,0.006674,0.006679,0.006287,0.006288,0.006288,1032700
10/04/2016,0.006289,0.006295,0.005924,0.005937,0.005937,774554
11/04/2016,0.005937,0.006071,0.005883,0.006048,0.006048,1871520
12/04/2016,0.006048,0.006082,0.005873,0.005885,0.005885,1085670
13/04/2016,0.005884,0.005884,0.005685,0.005695,0.005695,1384420
14/04/2016,0.005697,0.006352,0.005693,0.006289,0.006289,192592
15/04/2016,0.006303,0.006473,0.006229,0.006424,0.006424,156069
16/04/2016,0.006421,0.00651,0.006276,0.00651,0.00651,70487
17/04/2016,0.006499,0.006605,0.006488,0.006499,0.006499,54782
18/04/2016,0.006503,0.007194,0.006503,0.006987,0.006987,1066190
19/04/2016,0.006987,0.007157,0.006982,0.007118,0.007118,426257
20/04/2016,0.007117,0.007259,0.007019,0.007244,0.007244,1301350
21/04/2016,0.007265,0.007536,0.007265,0.007433,0.007433,1011580
22/04/2016,0.007439,0.007439,0.007275,0.007284,0.007284,955674
23/04/2016,0.007282,0.007365,0.007282,0.007346,0.007346,345650
24/04/2016,0.007344,0.00735,0.007223,0.007251,0.007251,472274
25/04/2016,0.00725,0.007308,0.007234,0.007283,0.007283,605219
26/04/2016,0.007279,0.007293,0.007095,0.007095,0.007095,884879
27/04/2016,0.007094,0.007094,0.006725,0.006725,0.006725,797081
28/04/2016,0.00672,0.006724,0.006666,0.006686,0.006686,752872
29/04/2016,0.006689,0.006759,0.006671,0.006759,0.006759,538253
30/04/2016,0.006761,0.006849,0.006761,0.006812,0.006812,406123
01/05/2016,0.006812,0.006819,0.006789,0.006791,0.006791,241733
02/05/2016,0.006791,0.006803,0.006712,0.006714,0.006714,585826
03/05/2016,0.006716,0.006717,0.006555,0.00656,0.00656,329125
04/05/2016,0.006558,0.00656,0.006307,0.006323,0.006323,563556
05/05/2016,0.006323,0.006324,0.006187,0.006193,0.006193,509188
06/05/2016,0.006198,0.0064,0.006188,0.006399,0.006399,680334
07/05/2016,0.006395,0.006496,0.006395,0.00649,0.00649,351537
08/05/2016,0.00649,0.006492,0.006403,0.006404,0.006404,389914
09/05/2016,0.006402,0.006407,0.006386,0.006399,0.006399,351209
10/05/2016,0.006399,0.006399,0.00627,0.006272,0.006272,404295
11/05/2016,0.006272,0.006277,0.006186,0.006189,0.006189,476708
12/05/2016,0.006188,0.006188,0.006153,0.006167,0.006167,362896
13/05/2016,0.006167,0.00619,0.006105,0.006109,0.006109,478095
14/05/2016,0.006111,0.006116,0.006033,0.006073,0.006073,274107
15/05/2016,0.006072,0.006075,0.006006,0.006061,0.006061,304621
16/05/2016,0.006061,0.00607,0.006018,0.006022,0.006022,389621
17/05/2016,0.006022,0.00606,0.006022,0.006023,0.006023,319996
18/05/2016,0.006022,0.006052,0.006016,0.006028,0.006028,701256
